Arabic,English
مِن‎,From
ٱللَّه‎,God
فِي‎,In
إِنّ‎,That
عَلَىٰ‎,Ali
ٱلَّذِي‎,That is
لَا,no
مَا,what
رَبّ,lord
إِلَىٰ,to
مَا,what
مَن,from
إِن,that
أَن,that
إِلَّا‎,Except
ذَٰلِك‎,That is
عَن,on
أَرْض,Land
قَد‎,Stomach
إِذَا,if
قَوْم,people
ءَايَة,Aya
أَنّ,that
كُلّ,all
لَم,did not
ثُمّ,then
رَسُول,messenger
لَا,no
يَوْم,day
عَذَاب,torment
هَٰذَا‎,This
سَمَاء,sky
نَفْس,same
شَيْء,something
أَو,or
كِتَٰب,books
بَيْن,between
حَقّ,right
نَاس,people
إِذ,so
أُولَٰٓئِك,Those
قَبْل,before
مُؤْمِن,Believer
لَو,if
مَن,from
سَبِيل,Sabil
أَمْر,Command
عِند,when
مَع,with
بَعْض,some
لَمَّا,when
أَيُّهَا,Oh
خَيْر,goodness
إِلَٰه,Machine
نَار,fire
غَيْر,not
أَم‎,Mother
مُوسَىٰ‎,Moses
دُون,Without
آخِر,last
بَعْد,after
قَلْب,heart
عَبْد,slave
أَهْل,Ahl
لَعَلّ,Might
بَل,but rather
يَد,hand
كَٰفِرُون,As an excuse
إِن,that
رَحْمَة,Mercy
رَحِيم,Merciful
أَجْر,A reward
ظَالِم,unjust
عِلْم,science
عَظِيم,great
لَن,won't
إِلَّا,unless
عَلِيم,Knowing
جَنَّة,heaven
حَتَّىٰ,until
هَل,Do
دِين,religion
قَوْل,say
مَا,what
ذُو,That
مَلَك,king
مَثَل,like
مَال,money
وَلِىّ,Guardian
هُدًى,Hoda
حَكِيم,wise
فَضْل,Fadl
صَلَوٰة,Passion
لَيْل,night
بُنَىّ,brown
شَيْطَٰن,Shattin
كَيْف,how
يَوْم,day
مَا,what
أَصْحَٰب,Correct